,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
0,Beograd,Novi Beograd,Bežanijska kosa 1,Dimitrija Georgijevića Starika,Kuća,96,5.0,230000
1,Beograd,Zemun,Batajnica,jovana brankovića,Kuća,65,3.0,60000
2,Beograd,Savski venac,Dedinje,Slavka Ćuruvije,Kuća,285,5+,568000
3,Beograd,Vračar,Neimar,"Đorđa Vajferta, kod Neimarskog parka",Kuća,250,5+,280000
4,Beograd,Savski venac,Dedinje,Aleksandra Trnanica - Tirketa,Kuća,550,5.0,1300000
5,Beograd,Palilula,Višnjička Banja,Miloša Crnjanskog,Kuća,260,5.0,310000
6,Beograd,Novi Beograd,Bežanijska kosa 1,VAJARA ZIVOJINA LUKICA ,Kuća,99,4.0,195000
7,Beograd,Voždovac,Dušanovac,Šupljikčeva,Kuća,120,4.0,82500
8,Beograd,Voždovac,Dušanovac,Lijačka ,Kuća,60,2.0,70000
9,Beograd,Zemun,Centar,Vasilija Vasilijevića,Kuća,176,4.0,159000
10,Beograd,Surčin,Bečmen,Đure Jakšića,Kuća,160,4.0,65000
11,Beograd,Čukarica,Golf,Izvorska,Kuća,250,5+,250000
12,Beograd,Savski venac,Dedinje,BLizu Pinka,Kuća,106,4.0,350000
13,Beograd,Zemun,Pregrevica,Pregrevica,Kuća,600,5+,600000
14,Beograd,Surčin,Surčin (mesto),Hajduk Veljkova,Kuća,244,5.0,170000
15,Beograd,Voždovac,Braće Jerković,Darvinova,Kuća,150,5+,149000
16,Beograd,Vračar,Hram svetog Save,Internacionalnih brigada,Kuća,510,3.0,1050000
17,Beograd,Vračar,Neimar,Đorđa Vajferta,Kuća,270,1.0,300000
18,Beograd,Barajevo,Barajevo (mesto),Svetosavska,Kuća,140,4.0,79000
19,Beograd,Voždovac,Konjarnik,Mikenska,Kuća,224,4.0,166000
20,Beograd,Surčin,Surčin (mesto),Baštovanska,Kuća,300,5+,260000
21,Beograd,Surčin,Surčin (mesto),Jakovački kormadin,Kuća,235,3.0,110000
22,Beograd,Voždovac,Dušanovac,Ljube Kovacevic,Kuća,150,5+,149500
23,Beograd,Zvezdara,Mali Mokri Lug,Nabokovljeva,Kuća,100,4.0,75000
24,Beograd,Zemun,Retenzija,Aleksandra Dubčeka,Kuća,180,5+,179000
25,Beograd,Voždovac,Ripanj,Put za Bubanju,Kuća,250,5+,150000
26,Beograd,Rakovica,Kneževac,Oslobođenja,Kuća,91,4.0,39000
27,Beograd,Zvezdara,Dimitrija Tucovića,Hadži Mustafina,Kuća,160,5+,180000
28,Beograd,Rakovica,Skojevsko naselje,Ribarčeva,Kuća,34,2.0,45000
