,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
0,Beograd,Zvezdara,Mirijevo,Šejkina,Stan,57.0,2.0,47000.0
1,Beograd,Zemun,Gornji grad,rade kon?at 51,Stan,80.0,3.0,75000.0
2,Beograd,Vra?ar,?ubura,Ma?vanska ,Stan,144.0,4.0,431910.0
3,Beograd,Vra?ar,?ubura,Ma?vanska,Stan,70.0,2.5,209910.0
4,Beograd,Novi Beograd,Blok 63,Nehruova,Stan,87.0,3.0,73950.0
5,Beograd,?ukarica,Julino brdo,Poru?nika Spasi?a i Mašere,Stan,51.0,1.5,55000.0
6,Beograd,Zvezdara,Kluz,Živka Davidovi?a 81,Stan,67.0,3.0,103360.0
7,Beograd,Novi Beograd,Blok 64,Gandijeva,Stan,69.0,2.5,78900.0
8,Beograd,Zvezdara,Lion,Bul.Kralja Aleksandra,Stan,70.0,2.5,107900.0
9,Beograd,Novi Beograd,Arena,Antifašisti?ke borbe,Stan,77.0,2.5,116000.0
10,Beograd,Novi Beograd,Stari Merkator,Bulevar Mihajla Pupina,Stan,21.0,0.5,44000.0
11,Beograd,Zvezdara,Bulbulder,Bore prodanovica,Stan,51.0,3.0,74000.0
12,Beograd,Stari grad,Centar,Terazije,Stan,159.0,5.0,400000.0
13,Beograd,Vra?ar,Crveni krst,Vojislava Ili?a,Stan,84.0,3.0,125000.0
14,Beograd,Vra?ar,Hram svetog Save,Sokolska,Stan,281.0,5.0,559000.0
15,Beograd,Zemun,Zemun polje,franje krca 11445,Stan,45.0,2.0,28500.0
16,Beograd,Palilula,Bor?a,Bor?anskih žrtava 1914.,Stan,60.0,3.0,31000.0
17,Beograd,Novi Beograd,Arena,Bulevar Arsenija ?arnojevi?a,Stan,58.0,2.0,85000.0
18,Beograd,Zvezdara,Mirijevo,Šejkina,Stan,57.0,2.0,47000.0
19,Beograd,Zemun,Gornji grad,rade kon?at 51,Stan,80.0,3.0,75000.0
20,Beograd,Vra?ar,?ubura,Ma?vanska ,Stan,144.0,4.0,431910.0
21,Beograd,Vra?ar,?ubura,Ma?vanska,Stan,70.0,2.5,209910.0
22,Beograd,Novi Beograd,Blok 63,Nehruova,Stan,87.0,3.0,73950.0
23,Beograd,?ukarica,Julino brdo,Poru?nika Spasi?a i Mašere,Stan,51.0,1.5,55000.0
24,Beograd,Zvezdara,Kluz,Živka Davidovi?a 81,Stan,67.0,3.0,103360.0
25,Beograd,Novi Beograd,Blok 64,Gandijeva,Stan,69.0,2.5,78900.0
26,Beograd,Zvezdara,Lion,Bul.Kralja Aleksandra,Stan,70.0,2.5,107900.0
27,Beograd,Novi Beograd,Arena,Antifašisti?ke borbe,Stan,77.0,2.5,116000.0
28,Beograd,Novi Beograd,Stari Merkator,Bulevar Mihajla Pupina,Stan,21.0,0.5,44000.0
29,Beograd,Zvezdara,Bulbulder,Bore prodanovica,Stan,51.0,3.0,74000.0
30,Beograd,Stari grad,Centar,Terazije,Stan,159.0,5.0,400000.0
31,Beograd,Vra?ar,Crveni krst,Vojislava Ili?a,Stan,84.0,3.0,125000.0
32,Beograd,Vra?ar,Hram svetog Save,Sokolska,Stan,281.0,5.0,559000.0
33,Beograd,Zemun,Zemun polje,franje krca 11445,Stan,45.0,2.0,28500.0
34,Beograd,Palilula,Bor?a,Bor?anskih žrtava 1914.,Stan,60.0,3.0,31000.0
35,Beograd,Novi Beograd,Arena,Bulevar Arsenija ?arnojevi?a,Stan,58.0,2.0,85000.0
36,Beograd,Novi Beograd,Blok 63,Nehruova,Stan,87.0,3.0,73950.0
37,Beograd,Palilula,Bor?a,prvog maja 38,Stan,41.0,2.0,25000.0
38,Beograd,Palilula,Bor?a,zrenjaninski put 153,Stan,40.0,2.0,25000.0
39,Beograd,Savski venac,Dedinje,Boška Petrovi?a,Stan,64.0,2.0,80000.0
40,Beograd,Zvezdara,Mirijevo,Mirijevski Bulevar,Stan,37.0,1.5,45000.0
41,Beograd,Palilula,Botani?ka bašta,Takovska,Stan,42.0,2.0,57000.0
42,Beograd,Savski venac,Centar,Admirala Geprata,Stan,75.0,2.0,115000.0
43,Beograd,Vra?ar,SC Vra?ar,Lozni?ka,Stan,150.0,5.0,259000.0
44,Beograd,Novi Beograd,Blok 21,Bulevar Mihaila Pupina,Stan,101.0,4.0,138900.0
45,Beograd,Zvezdara,Rudo,Luneta Milovanovi?a br.4,Stan,50.0,2.5,70000.0
46,Beograd,Zvezdara,Rudo,Luneta Milovanovi?a br.4 ,Stan,49.0,2.0,68600.0
47,Beograd,Zvezdara,Vukov Spomenik,Stanka Vraza,Stan,37.0,1.0,45000.0
48,Beograd,Zvezdara,Mirijevo,Dragoslava Djordjevica Gose 14b,Stan,56.0,2.5,54000.0
49,Beograd,Zvezdara,Mirijevo,Dola?ka,Stan,51.0,2.0,52000.0
50,Beograd,Zvezdara,Mirijevo,ZAGRA?E BR.2,Stan,68.0,2.0,52000.0
51,Beograd,Novi Beograd,Hotel Jugoslavija,Aleksina?kih rudara ,Stan,48.0,2.0,72000.0
52,Beograd,Novi Beograd,Blok 22,Antifašisti?ke borbe,Stan,117.0,4.0,210000.0
53,Beograd,Zemun,Save Kova?evi?a,Gornjogradska 54b,Stan,42.0,1.5,44000.0
54,Beograd,Zvezdara,Mirijevo,Sejkina,Stan,39.0,1.0,29800.0
55,Beograd,Novi Beograd,Dr Ivana Ribara,Dr Ivana Ribara,Stan,45.0,1.5,51000.0
56,Beograd,Vra?ar,Hram svetog Save,Katani?eva,Stan,85.0,3.0,155000.0
57,Beograd,Zemun,Save Kova?evi?a,gornjogradska 54 a,Stan,45.0,1.5,45000.0
58,Beograd,Grocka,Kalu?erica,Zikice Jovanovica Spanca,Stan,28.0,2.0,18000.0
59,Beograd,Rakovica,Vidikovac,Vidikovacki venac,Stan,101.0,3.0,86000.0
60,Beograd,Zvezdara,Denkova bašta,Dr Velizara Kosanovi?a,Stan,60.0,1.5,87000.0
61,Beograd,Palilula,Višnji?ka Banja,Draginje Adamovi? 8i,Stan,49.0,2.5,43700.0
62,Beograd,Voždovac,Kumodraž,Vojvode Stepe,Stan,74.0,2.5,66600.0
63,Beograd,Zemun,Donji grad,Petra Koci?a 14,Stan,106.0,4.0,186000.0
64,Beograd,Zemun,Donji grad,Petra Koci?a 14,Stan,46.0,2.0,78686.0
65,Beograd,Zemun,Donji grad,Petra Koci?a 14,Stan,64.0,3.0,112507.0
66,Beograd,Zemun,Donji grad,Petra Koci?a 14,Stan,40.0,1.5,71557.0
67,Beograd,Rakovica,Petlovo brdo,Go?ka 47a,Stan,60.0,2.0,45000.0
68,Beograd,Vra?ar,Neimar,Sime Igumanova,Stan,64.0,2.0,82000.0
69,Beograd,Voždovac,Lekino brdo,Maksima Gorkog,Stan,47.0,2.0,94000.0
70,Beograd,Savski venac,Humska,Dobropoljska 18,Stan,100.0,4.0,130000.0
71,Beograd,Palilula,Višnji?ka Banja,Draginje Adamovi? 8i,Stan,36.0,2.0,30700.0
72,Beograd,Voždovac,Autokomanda,Ranka Tajsi?a,Stan,51.0,2.0,73100.0
73,Beograd,Vra?ar,Crveni krst,Kajmak?alanska,Stan,81.0,3.0,148000.0
