,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
1897,Beograd,Opština Novi Beograd,Blok 70 (kineski tržni centar),jurija gagarina,Stan,79.0,3.0,CG,9,9,86000.0
404,Beograd,Opština Novi Beograd,Blok 70 (kineski tržni centar),jurija gagarina,Stan,79.0,3.0,CG,9,9,86000.0
240,Beograd,Opština Zvezdara,Rudo,olge alkalaj,Stan,36.0,1.0,CG,2,11,41000.0
1837,Beograd,Opština Zvezdara,Rudo,olge alkalaj,Stan,36.0,1.0,CG,2,11,41000.0
6107,Beograd,Opština Palilula,Borča,severina bijelica,Stan,37.0,2.0,CG,4,4,31000.0
4451,Beograd,Opština Voždovac,Konjarnik,ustanicka,Stan,67.0,2.5,CG,5,5,76000.0
6082,Beograd,Opština Palilula,Višnjička Banja,visnjicki venac,Stan,51.0,2.0,CG,4,4,41000.0
5636,Beograd,Opština Čukarica,Železnik,"1,maja",Stan,68.0,3.0,EG,1,1,43000.0
4310,Beograd,Opština Palilula,Višnjica,109 nova,Stan,43.0,1.5,EG,VPR,4,40000.0
4782,Beograd,Opština Palilula,Višnjica,109 nova,Stan,57.0,1.5,EG,1,3,45000.0
5353,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,66.0,2.5,CG,VPR,11,57900.0
3988,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,45.0,2.0,TA,9,12,42500.0
2546,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,67.0,2.5,CG,2,7,59500.0
1523,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,50.0,2.5,Gas,1,4,45000.0
1423,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,67.0,2.5,CG,2,7,59500.0
4997,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,52.0,2.0,CG,PR,12,54000.0
4942,Beograd,Opština Rakovica,Petlovo brdo,11. krajiske divizije,Stan,62.0,3.0,CG,2,12,55000.0
3307,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,50.0,2.5,Gas,1,4,45000.0
3487,Beograd,Opština Rakovica,Petlovo brdo,11. krajiske divizije,Stan,73.0,3.5,CG,PR,12,53011.0
3443,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,86.0,3.5,CG,3,11,79900.0
1675,Beograd,Opština Rakovica,Labudovo brdo,11. krajiske divizije,Stan,86.0,3.5,CG,3,11,79900.0
4587,Beograd,Opština Palilula,Višnjička Banja,110. nova,Stan,78.0,3.0,EG,VPR,2,58500.0
6045,Beograd,Opština Palilula,Višnjica,113 nova,Stan,72.0,3.0,EG,PTK,3,63000.0
5286,Beograd,Opština Palilula,Višnjica,114. nova,Stan,180.0,3.5,TA,2,2,74000.0
3596,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,104.0,5.0,CG,2,4,99000.0
280,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,60.0,2.0,CG,6,10,53900.0
2344,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,110.0,5+,CG,3,4,83000.0
3493,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,59.0,2.0,CG,7,10,51000.0
5388,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,112.0,5.0,CG,3,3,84000.0
2223,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,60.0,2.0,CG,6,10,53900.0
732,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,110.0,5+,CG,3,4,83000.0
4315,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,57.0,2.0,CG,2,10,51900.0
361,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,60.0,2.0,CG,7,10,45900.0
2391,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,60.0,2.0,CG,7,10,45900.0
3586,Beograd,Opština Zvezdara,Mirijevo,16. oktobar,Stan,59.0,2.0,CG,7,10,46000.0
1636,Beograd,Opština Rakovica,Kneževac,17 oktobar,Stan,30.0,1.5,EG,1,3,30000.0
3348,Beograd,Opština Rakovica,Kneževac,17 oktobar,Stan,30.0,1.5,EG,1,3,30000.0
363,Beograd,Opština Rakovica,Petlovo brdo,17 oktobra,Stan,33.0,1.5,EG,1,4,36990.0
2003,Beograd,Opština Rakovica,Petlovo brdo,17 oktobra,Stan,33.0,1.5,EG,1,4,36990.0
498,Beograd,Opština Rakovica,Labudovo brdo,17 oktobra,Stan,41.0,1.5,TA,2,4,38000.0
2389,Beograd,Opština Rakovica,Labudovo brdo,17 oktobra,Stan,41.0,1.5,TA,2,4,38000.0
4631,Beograd,Opština Rakovica,Labudovo brdo,17 oktobra,Stan,32.0,1.0,TA,1,4,30000.0
5441,Beograd,Opština Rakovica,Petlovo brdo,17 oktobra,Stan,33.0,1.5,Mermerni radijatori,1,3,30000.0
1623,Beograd,Opština Rakovica,Labudovo brdo,17 oktobra,Stan,22.0,0.5,EG,1,4,23000.0
3308,Beograd,Opština Rakovica,Labudovo brdo,17 oktobra,Stan,22.0,0.5,EG,1,4,23000.0
4659,Beograd,Opština Voždovac,Naselje Stepa Stepanović,2. srpske armije,Stan,76.0,2.0,CG,6,6,76500.0
5688,Beograd,Opština Voždovac,Naselje Stepa Stepanović,2. srpske armije,Stan,83.0,3.0,CG,5,6,88000.0
3613,Beograd,Opština Zemun,Centar,22 oktobar,Stan,52.0,2.5,CG,5,5,58000.0
4218,Beograd,Opština Zemun,Centar,22. oktobra,Stan,52.0,3.0,CG,5,5,58000.0
2232,Beograd,Opština Zemun,Centar,22. oktobra,Stan,76.0,3.0,TA,3,3,96000.0
228,Beograd,Opština Zemun,Centar,22. oktobra,Stan,76.0,3.0,TA,3,3,96000.0
4595,Beograd,Opština Palilula,Tašmajdan,27. marta,Stan,70.0,3.0,TA,4,4,115000.0
4375,Beograd,Opština Palilula,Poštanska štedionica,27. marta,Stan,78.0,2.5,TA,4,4,115000.0
4958,Beograd,Opština Palilula,Poštanska štedionica,27. marta,Stan,97.0,3.5,CG,2,17,160000.0
204,Beograd,Opština Palilula,Palilulska pijaca,27. marta,Stan,70.0,3.0,CG,3,16,109000.0
5930,Beograd,Opština Palilula,Palilulska pijaca,27. marta,Stan,60.0,2.0,CG,1,12,80000.0
2041,Beograd,Opština Palilula,Palilulska pijaca,27. marta,Stan,70.0,3.0,CG,3,16,109000.0
5491,Beograd,Opština Palilula,Krnjača,3. sutjeska,Stan,41.0,1.5,EG,PR,3,24900.0
164,Beograd,Opština Rakovica,Kanarevo brdo,6. licke divizije,Stan,96.0,3.0,EG,1,2,85000.0
1793,Beograd,Opština Rakovica,Kanarevo brdo,6. licke divizije,Stan,96.0,3.0,EG,1,2,85000.0
3991,Beograd,Opština Palilula,Kotež,7 sutjeska,Stan,39.0,2.0,Norveški radijatori,2,3,24000.0
3890,Beograd,Opština Palilula,Kotež,7 sutjeska,Stan,41.0,2.0,TA,1,3,34500.0
5277,Beograd,Opština Palilula,Borča,7. jula,Stan,38.0,1.0,EG,3,3,29000.0
1214,Beograd,Opština Palilula,Kotež,3. sutjeska,Stan,25.0,0.5,TA,3,3,19000.0
2465,Beograd,Opština Palilula,Kotež,3. sutjeska,Stan,25.0,0.5,TA,3,3,19000.0
5231,Beograd,Opština Čukarica,Železnik,8. mart,Stan,47.0,1.5,CG,6,9,36000.0
3868,Beograd,Opština Čukarica,Železnik,8. mart,Stan,77.0,3.0,CG,9,9,39000.0
4708,Beograd,Opština Čukarica,Železnik,8. mart,Stan,17.0,0.5,CG,PR,9,14500.0
4473,Beograd,Opština Savski venac,Centar,admirala geprata,Stan,76.0,2.0,CG,4,6,140000.0
3777,Beograd,Opština Zemun,Cara Dušana,alaska,Stan,40.0,1.0,CG,4,4,36000.0
61,Beograd,Opština Zvezdara,Mirijevo,aleksandra belica,Stan,72.0,2.5,CG,5,5,64900.0
2127,Beograd,Opština Zvezdara,Mirijevo,aleksandra belica,Stan,72.0,2.5,CG,5,5,64900.0
4916,Beograd,Opština Zvezdara,Mirijevo,aleksandra belica,Stan,46.0,1.0,CG,2,5,39000.0
1102,Beograd,Opština Čukarica,Filmski grad,ane ahmetove,Stan,56.0,2.0,CG,1,5,69000.0
2917,Beograd,Opština Čukarica,Filmski grad,ane ahmetove,Stan,56.0,2.0,CG,1,5,69000.0
4085,Beograd,Opština Novi Beograd,Arena,antofasisticke borbe,Stan,86.0,3.0,CG,1,7,139000.0
534,Beograd,Opština Čukarica,Filmski grad,arcibalda rajsa,Stan,20.0,0.5,EG,2,2,18900.0
2726,Beograd,Opština Čukarica,Filmski grad,arcibalda rajsa,Stan,20.0,0.5,EG,2,2,18900.0
638,Beograd,Opština Zemun,Altina,abebe bikile,Stan,48.0,2.0,EG,2,3,42000.0
2451,Beograd,Opština Zemun,Altina,abebe bikile,Stan,48.0,2.0,EG,2,3,42000.0
305,Beograd,Opština Zemun,Altina,abebe bikile,Stan,48.0,2.0,EG,2,3,42000.0
2044,Beograd,Opština Zemun,Altina,abebe bikile,Stan,48.0,2.0,EG,2,3,42000.0
3638,Beograd,Opština Čukarica,Cerak,ace joksimovica,Stan,60.0,2.0,TA,2,2,56900.0
5175,Beograd,Opština Čukarica,Žarkovo,ace joksimovica,Stan,60.0,2.0,CG,2,2,56900.0
2037,Beograd,Opština Čukarica,Žarkovo,ace joksimovica,Stan,48.0,1.5,Gas,PR,4,52000.0
5746,Beograd,Opština Čukarica,Žarkovo,ace joksimovica,Stan,48.0,1.5,Gas,PR,4,54000.0
496,Beograd,Opština Čukarica,Žarkovo,ace joksimovica,Stan,48.0,1.5,Gas,PR,4,52000.0
4171,Beograd,Opština Čukarica,Cerak,ace joksimovica,Stan,60.0,2.5,EG,VPR,2,70000.0
5215,Beograd,Opština Savski venac,Centar,admirala geprata,Stan,60.0,2.0,TA,5,6,95000.0
4053,Beograd,Opština Savski venac,Centar,admirala geprata,Stan,75.0,2.0,CG,6,7,130000.0
5679,Beograd,Opština Savski venac,Centar,admirala geprata,Stan,62.0,2.5,CG,5,6,98000.0
5158,Beograd,Opština Voždovac,Autokomanda,admirala vukovica,Stan,111.0,3.0,CG,3,5,212500.0
5945,Beograd,Opština Zemun,Zemun polje,akrobate aleksica,Stan,60.0,2.0,CG,3,4,50000.0
2761,Beograd,Opština Zemun,Zemun polje,akrobate aleksica,Stan,32.0,1.0,CG,2,4,28500.0
1026,Beograd,Opština Zemun,Zemun polje,akrobate aleksica,Stan,32.0,1.0,CG,2,4,28500.0
2093,Beograd,Opština Zemun,Gornji grad,alaska,Stan,118.0,4.0,EG,4,4,85000.0
625,Beograd,Opština Zemun,Gornji grad,alaska,Stan,118.0,4.0,EG,4,4,85000.0
5301,Beograd,Opština Zemun,Gornji grad,alaska,Stan,120.0,4.0,EG,4,4,84900.0
5850,Beograd,Opština Zemun,Gornji grad,alaska,Stan,40.0,1.0,TA,1,4,39000.0
3827,Beograd,Opština Palilula,Hadžipopovac,albanske spomenice,Stan,74.0,3.0,CG,4,4,120000.0
1451,Beograd,Opština Palilula,Cvijićeva,albanske spomenice,Stan,35.0,1.0,CG,1,2,39000.0
2983,Beograd,Opština Palilula,Cvijićeva,albanske spomenice,Stan,35.0,1.0,CG,1,2,39000.0
4138,Beograd,Opština Palilula,Cvijićeva,albanske spomenice,Stan,35.0,1.0,CG,1,2,39000.0
4836,Beograd,Opština Palilula,Profesorska kolonija,albanske spomenice,Stan,33.0,1.0,CG,3,14,54000.0
4517,Beograd,Opština Novi Beograd,Ledine,albrehta direra,Stan,45.0,2.5,EG,2,3,43000.0
6095,Beograd,Opština Obrenovac,Obrenovac (mesto),aleksandra ace simovica,Stan,33.0,1.0,CG,3,3,20000.0
3706,Beograd,Opština Zvezdara,Mirijevo,aleksandra belica,Stan,81.0,4.0,CG,VPR,4,75000.0
5970,Beograd,Opština Zvezdara,Mirijevo,aleksandra belica,Stan,92.0,3.5,CG,1,5,82800.0
5767,Beograd,Opština Palilula,Karaburma,aleksandra fleminga,Stan,49.0,2.5,EG,PSUT,4,45000.0
1222,Beograd,Opština Savski venac,Dedinje,aleksandra tirnanica tirketa,Stan,135.0,3.0,CG,VPR,2,295000.0
4621,Beograd,Opština Vračar,Slavija,alekse nenadovica,Stan,66.0,2.0,CG,3,3,126000.0
