,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
0,Beograd,Opština Zemun,Prvomajska,Hercegovacka,Stan,93.0,3.0,TA,PR,1,80000.0
1,Beograd,Opština Novi Beograd,Stari Merkator,Bulevar M.Pupina,Stan,40.0,2.0,CG,6,13,65000.0
2,Beograd,Opština Vračar,Čubura,Šumatovačka,Stan,61.0,3.0,CG,1,6,85900.0
3,Beograd,Opština Voždovac,Naselje Stepa Stepanović,Generala Štefanika,Stan,65.0,2.0,CG,VPR,7,84500.0
4,Beograd,Opština Savski venac,Sajam,Bulevar vojvode Mišića,Stan,110.0,3.0,CG,5,8,119000.0
5,Beograd,Opština Novi Beograd,Bežanijska kosa 2,Raška Dimitrijevića,Stan,224.0,5+,CG,1,2,290000.0
6,Beograd,Opština Palilula,Karaburma,Srnetička,Stan,21.0,0.5,TA,4,5,21500.0
7,Beograd,Opština Savski venac,Klinički centar,Resavska,Stan,78.0,3.0,EG,4,6,125000.0
8,Beograd,Opština Čukarica,Banovo brdo,Žarka Vukovića Pucara,Stan,161.0,5.0,EG,3,3,200000.0
9,Beograd,Opština Rakovica,Centar,Pilota Mihaila Petrovića,Stan,55.0,2.0,CG,7,14,47000.0
10,Beograd,Opština Rakovica,Kneževac,Sedamnaestog oktobra,Stan,40.0,2.0,Gas,1,4,31000.0
11,Beograd,Opština Čukarica,Cerak,Bitoljska,Stan,91.0,3.0,CG,2,2,66000.0
12,Beograd,Opština Zemun,Altina,Dobanovački put IV deo,Stan,66.0,3.0,EG,VPR,2,55000.0
13,Beograd,Opština Novi Beograd,Blok 37,Milutina Milankovića,Stan,91.0,3.0,CG,8,9,90000.0
14,Beograd,Opština Palilula,Centar,Takovska,Stan,45.0,1.0,TA,7,7,60000.0
15,Beograd,Opština Stari grad,Centar,Dositejeva,Stan,120.0,5.0,EG,3,4,160000.0
16,Beograd,Opština Zvezdara,Cvetkova pijaca,Braće Miladinov,Stan,16.0,0.5,TA,VPR,4,19000.0
17,Beograd,Opština Palilula,Karaburma,Diljska,Stan,101.0,3.5,TA,2,2,85000.0
18,Beograd,Opština Novi Beograd,Blok 45 (TC Enjub),Jurija Gagarina,Stan,88.0,3.0,CG,4,15,91000.0
