,Unnamed: 0,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
0,1897,Beograd,Novi Beograd,Blok 70 (kineski tržni centar),jurija gagarina,Stan,79,3,CG,9,9,86000,7.274184335
1,404,Beograd,Novi Beograd,Blok 70 (kineski tržni centar),jurija gagarina,Stan,79,3,CG,9,9,86000,7.274184335
2,240,Beograd,Zvezdara,Rudo,olge alkalaj,Stan,36,1,CG,2,11,41000,4.870894182
3,1837,Beograd,Zvezdara,Rudo,olge alkalaj,Stan,36,1,CG,2,11,41000,4.870894182
4,6107,Beograd,Palilula,Borča,severina bijelica,Stan,37,2,CG,4,4,31000,0.408147727
5,4451,Beograd,Voždovac,Konjarnik,ustanicka,Stan,67,2.5,CG,5,5,76000,2.91877365
6,6082,Beograd,Palilula,Višnjička Banja,visnjicki venac,Stan,51,2,CG,4,4,41000,6.378647456
7,5636,Beograd,Čukarica,Železnik,"1,maja",Stan,68,3,EG,1,1,43000,0.655908943
8,4310,Beograd,Palilula,Višnjica,109 nova,Stan,43,1.5,EG,VPR,4,40000,4.286212053
9,4782,Beograd,Palilula,Višnjica,109 nova,Stan,57,1.5,EG,1,3,45000,4.286212053
10,5353,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,66,2.5,CG,VPR,11,57900,7.781918134
11,3988,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,45,2,TA,9,12,42500,7.781918134
12,2546,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,67,2.5,CG,2,7,59500,7.781918134
13,1523,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,50,2.5,Gas,1,4,45000,7.781918134
14,1423,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,67,2.5,CG,2,7,59500,7.781918134
15,4997,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,52,2,CG,PR,12,54000,7.781918134
16,4942,Beograd,Rakovica,Petlovo brdo,11. krajiske divizije,Stan,62,3,CG,2,12,55000,7.781918134
17,3307,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,50,2.5,Gas,1,4,45000,7.781918134
18,3487,Beograd,Rakovica,Petlovo brdo,11. krajiske divizije,Stan,73,3.5,CG,PR,12,53011,7.781918134
19,3443,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,86,3.5,CG,3,11,79900,7.781918134
20,1675,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,86,3.5,CG,3,11,79900,7.781918134
21,4587,Beograd,Palilula,Višnjička Banja,110. nova,Stan,78,3,EG,VPR,2,58500,3.41370424
22,6045,Beograd,Palilula,Višnjica,113 nova,Stan,72,3,EG,PTK,3,63000,0.408147727
23,5286,Beograd,Palilula,Višnjica,114. nova,Stan,180,3.5,TA,2,2,74000,5.863367534
24,3596,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,104,5,CG,2,4,99000,6.052720328
25,280,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,60,2,CG,6,10,53900,6.052720328
26,2344,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,110,5+,CG,3,4,83000,6.052720328
27,3493,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,59,2,CG,7,10,51000,6.052720328
28,5388,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,112,5,CG,3,3,84000,6.052720328
29,2223,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,60,2,CG,6,10,53900,6.052720328
30,732,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,110,5+,CG,3,4,83000,6.052720328
31,4315,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,57,2,CG,2,10,51900,6.052720328
32,361,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,60,2,CG,7,10,45900,6.052720328
33,2391,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,60,2,CG,7,10,45900,6.052720328
