,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
0,Beograd,Novi Beograd,Blok 70 (kineski tržni centar),jurija gagarina,Stan,79.0,3,CG,9,9,86000,7.274184335
1,Beograd,Novi Beograd,Blok 70 (kineski tržni centar),jurija gagarina,Stan,79.0,3,CG,9,9,86000,7.274184335
2,Beograd,Zvezdara,Rudo,olge alkalaj,Stan,36.0,1,CG,2,11,41000,4.870894182
3,Beograd,Zvezdara,Rudo,olge alkalaj,Stan,36.0,1,CG,2,11,41000,4.870894182
4,Beograd,Palilula,Bor?a,severina bijelica,Stan,37.0,2,CG,4,4,31000,0.408147727
5,Beograd,Voždovac,Konjarnik,ustanicka,Stan,67.0,2.5,CG,5,5,76000,2.91877365
6,Beograd,Palilula,Višnji?ka Banja,visnjicki venac,Stan,51.0,2,CG,4,4,41000,6.378647456
7,Beograd,?ukarica,Železnik,"1,maja",Stan,68.0,3,EG,1,1,43000,0.655908943
8,Beograd,Palilula,Višnjica,109 nova,Stan,43.0,1.5,EG,VPR,4,40000,4.286212053
9,Beograd,Palilula,Višnjica,109 nova,Stan,57.0,1.5,EG,1,3,45000,4.286212053
10,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,66.0,2.5,CG,VPR,11,57900,7.781918134
11,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,45.0,2,TA,9,12,42500,7.781918134
12,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,67.0,2.5,CG,2,7,59500,7.781918134
13,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,50.0,2.5,Gas,1,4,45000,7.781918134
14,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,67.0,2.5,CG,2,7,59500,7.781918134
15,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,52.0,2,CG,PR,12,54000,7.781918134
16,Beograd,Rakovica,Petlovo brdo,11. krajiske divizije,Stan,62.0,3,CG,2,12,55000,7.781918134
17,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,50.0,2.5,Gas,1,4,45000,7.781918134
18,Beograd,Rakovica,Petlovo brdo,11. krajiske divizije,Stan,73.0,3.5,CG,PR,12,53011,7.781918134
19,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,86.0,3.5,CG,3,11,79900,7.781918134
20,Beograd,Rakovica,Labudovo brdo,11. krajiske divizije,Stan,86.0,3.5,CG,3,11,79900,7.781918134
21,Beograd,Palilula,Višnji?ka Banja,110. nova,Stan,78.0,3,EG,VPR,2,58500,3.41370424
22,Beograd,Palilula,Višnjica,113 nova,Stan,72.0,3,EG,PTK,3,63000,0.408147727
23,Beograd,Palilula,Višnjica,114. nova,Stan,180.0,3.5,TA,2,2,74000,5.863367534
24,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,104.0,5,CG,2,4,99000,6.0527203279999995
25,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,60.0,2,CG,6,10,53900,6.0527203279999995
26,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,110.0,5+,CG,3,4,83000,6.0527203279999995
27,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,59.0,2,CG,7,10,51000,6.0527203279999995
28,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,112.0,5,CG,3,3,84000,6.0527203279999995
29,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,60.0,2,CG,6,10,53900,6.0527203279999995
30,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,110.0,5+,CG,3,4,83000,6.0527203279999995
31,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,57.0,2,CG,2,10,51900,6.0527203279999995
32,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,60.0,2,CG,7,10,45900,6.0527203279999995
33,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,60.0,2,CG,7,10,45900,6.0527203279999995
34,Beograd,Zvezdara,Mirijevo,16. oktobar,Stan,59.0,2,CG,7,10,46000,6.0527203279999995
35,Beograd,Rakovica,Kneževac,17 oktobar,Stan,30.0,1.5,EG,1,3,30000,7.499237591
36,Beograd,Rakovica,Kneževac,17 oktobar,Stan,30.0,1.5,EG,1,3,30000,7.499237591
37,Beograd,Rakovica,Petlovo brdo,17 oktobra,Stan,33.0,1.5,EG,1,4,36990,7.499237591
38,Beograd,Rakovica,Petlovo brdo,17 oktobra,Stan,33.0,1.5,EG,1,4,36990,7.499237591
39,Beograd,Rakovica,Labudovo brdo,17 oktobra,Stan,41.0,1.5,TA,2,4,38000,7.499237591
40,Beograd,Rakovica,Labudovo brdo,17 oktobra,Stan,41.0,1.5,TA,2,4,38000,7.499237591
