,Unnamed: 0,Ulica,Koordinate,Od centra
0,700,petra konjovica,"(43.3089383, 21.8827473)",167.9608335
1,1047,zikice jovanovica spanca,"(43.2410898, 21.5886645)",157.02366519999998
2,21,7. jula,"(45.8582764, 19.5882154)",110.14187820000001
3,203,despotovacka,"(44.1011012, 21.4694661)",100.2381234
4,807,sabacka,"(44.7478574, 19.7036059)",3.136561592
5,1028,vojvodjanske brigade,"(45.1217412, 19.7941774)",59.39738822
6,976,vencacka,"(44.26277779999999, 20.5927778)",46.10257895
7,924,toviliste,"(44.3035219, 20.552845)",42.20400555
8,1053,zorana radmilovica,"(44.3786445, 20.2411418)",39.64031025
9,548,mihajla milovanovica,"(44.4408733, 20.7023431)",36.18325289
10,695,pete kozarske,"(44.6515582, 20.1676989)",27.19379379
11,35,aleksandra ace simovica,"(44.67174680000001, 20.2030206)",23.89653013
12,756,raljska,"(44.57229359999999, 20.5613251)",21.38064405
13,644,omladinska,"(44.9563218, 20.270116)",19.15155259
14,901,svetosavska,"(44.9531264, 20.2815583)",18.25492295
15,56,bore stankovica br. 2,"(44.86462600000001, 20.6595446)",16.63131297
16,669,prvog maja,"(44.6402855, 20.3742568)",15.84934203
17,440,kralja radoslava,"(44.8980829, 20.2827637)",15.84687881
18,572,milice rakic,"(44.9017852, 20.2847382)",15.83135169
19,859,sremskog fronta,"(44.9047303, 20.2863918)",15.81822356
20,106,bosanske krajine,"(44.9039471, 20.2873541)",15.71990636
21,1027,vojvodjanskih brigada,"(44.9067209, 20.2888278)",15.71753037
22,829,sevastokratora branka,"(44.8982462, 20.2847314)",15.70791454
23,499,majora zorana radosavljevica,"(44.9000022, 20.2856417)",15.70237292
24,794,stevana dubajica,"(44.8946148, 20.2874793)",15.38225946
25,830,sevastokratora vlatka,"(44.8923522, 20.2878052)",15.28300532
26,322,ibarska,"(44.8636354, 20.6426145)",15.28129652
27,896,sv. serafima sarovskog,"(44.895229, 20.2905089)",15.18015154
28,852,smederevski put,"(44.7277646, 20.6229156)",14.99981723
29,670,padinska skela,"(44.9832898, 20.4381019)",13.68073478
30,672,palih boraca,"(44.759861, 20.6144931)",13.30565879
31,822,semberijska,"(44.7509313, 20.6090351)",13.16342549
32,316,hrizantema,"(44.7965442, 20.3064311)",12.56133851
33,118,branka cvetkovica,"(44.68348839999999, 20.3850355)",12.34324322
34,131,brace skerovica,"(44.68348839999999, 20.3850355)",12.34324322
35,167,cerova,"(44.68348839999999, 20.3850355)",12.34324322
36,172,crveno barjace,"(44.68348839999999, 20.3850355)",12.34324322
37,229,drage spasic,"(44.68348839999999, 20.3850355)",12.34324322
38,250,dvorzakova,"(44.68348839999999, 20.3850355)",12.34324322
39,400,kedrova,"(44.68348839999999, 20.3850355)",12.34324322
40,443,kraljevackih zrtava,"(44.68348839999999, 20.3850355)",12.34324322
41,462,lazara kujundzica,"(44.68348839999999, 20.3850355)",12.34324322
42,468,leposave mihajlovic,"(44.68348839999999, 20.3850355)",12.34324322
43,474,ljeska,"(44.68348839999999, 20.3850355)",12.34324322
44,519,majdanska,"(44.68348839999999, 20.3850355)",12.34324322
45,559,milana delica,"(44.68348839999999, 20.3850355)",12.34324322
46,588,mirosavljeva,"(44.68348839999999, 20.3850355)",12.34324322
47,602,mojkovacka,"(44.68348839999999, 20.3850355)",12.34324322
48,673,palisadska,"(44.68348839999999, 20.3850355)",12.34324322
49,674,palisadska i deo,"(44.68348839999999, 20.3850355)",12.34324322
50,681,partizanske vode,"(44.68348839999999, 20.3850355)",12.34324322
51,755,rajka ruzica,"(44.68348839999999, 20.3850355)",12.34324322
52,837,sinise stankovica,"(44.68348839999999, 20.3850355)",12.34324322
53,850,slobodana perovica,"(44.68348839999999, 20.3850355)",12.34324322
54,998,vladimira matijevica,"(44.68348839999999, 20.3850355)",12.34324322
55,1043,zdravka jovanovica,"(44.68348839999999, 20.3850355)",12.34324322
56,87,bilecka,"(44.6711569, 20.5029521)",12.23556573
57,111,bozicna,"(44.6711569, 20.5029521)",12.23556573
